,SECTOR,YAHOO_SYMBOL,FINDATA_CURR,STOCK_NAME,CURRENCY,EXCHANGE,EXCHANGE_STATE,MARKETCAP,MARKETPRICE,UPDATED,MARKETOPEN,MARKETCLOSE,MARKETTIME,FX_RATE,ENTERPRISEVALUE,SHARESOUTSTANDING,INSIDER_SHARES,INSTITUTION_SHARES,BOOK_VALUE,NETINCOME_TO_COMMON,TRAILING_EPS,52WEEKCHANGE,EV/R,PRICETOBOOK
19,DIVERSIFIED,C38U.SI,SGD,CapitaLand Integrated Commercial Trust,SGD,SES,REGULAR,13534839808.0,2.09,21-06-2021 15:00:59,2.08,2.09,2021-06-21 06:50:45,1.0,22238885888.0,6476000256.0,0.00154,0.55062,2.015,349819008.0,0.084,0.044999957,29.842,1.0372207
20,DIVERSIFIED,CWBU.SI,EUR,Cromwell European Real Estate Investment Trust,EUR,SES,REGULAR,1308832128.0,2.34,21-06-2021 15:00:59,2.34,2.32,2021-06-21 06:45:08,1.0,2901632000.0,559329984.0,0.45416,0.06988,2.547,79363000.0,0.25,0.11807227,15.519,0.91872793
21,DIVERSIFIED,CWCU.SI,EUR,Cromwell European Real Estate Investment Trust,SGD,SES,REGULAR,0.0,3.75,21-06-2021 15:00:59,3.77,3.77,2021-06-21 05:44:11,1.59729,2901632000.0,0.0,0.45416,0.06988,2.547,79363000.0,0.25,0.0,15.519,1.4723204
22,DIVERSIFIED,RW0U.SI,SGD,Mapletree North Asia Commercial Trust,SGD,SES,REGULAR,3654636032.0,1.06,21-06-2021 15:01:00,1.05,1.05,2021-06-21 06:50:31,1.0,6650825728.0,3447770112.0,0.0036300002,0.57594,1.274,-265788000.0,-0.079,0.11702132,16.844,0.83202505
23,DIVERSIFIED,T82U.SI,SGD,Suntec Real Estate Investment Trust,SGD,SES,REGULAR,4142998272.0,1.46,21-06-2021 15:01:00,1.44,1.45,2021-06-21 06:50:24,1.0,8883580928.0,2837669888.0,0.4309,0.20526,2.134,-72739000.0,-0.026,0.0,23.895,0.6841612
24,INDUSTRIAL,O5RU.SI,SGD,AIMS APAC REIT,SGD,SES,REGULAR,1010528000.0,1.43,21-06-2021 15:01:00,1.42,1.42,2021-06-21 06:50:27,1.0,1811874432.0,706662976.0,0.35562,0.16011,1.362,52021000.0,0.067,0.13600004,14.775,1.0499265
25,INDUSTRIAL,K2LU.SI,SGD,ARA LOGOS Logistics Trust,SGD,SES,REGULAR,1187327232.0,0.82,21-06-2021 15:01:00,0.82,0.82,2021-06-21 06:45:52,1.0,1629629696.0,1447960064.0,0.11302,0.09115,0.657,39116000.0,0.035,0.44757915,13.877,1.2480974
26,INDUSTRIAL,A17U.SI,SGD,Ascendas Real Estate Investment Trust,SGD,SES,REGULAR,12123235328.0,2.91,21-06-2021 15:01:00,2.91,2.92,2021-06-21 06:50:01,1.0,16796451840.0,4166060032.0,0.0012800001,0.48084998,2.286,441936000.0,0.121,-0.06610924,15.86,1.2773404
27,INDUSTRIAL,BWCU.SI,SGD,EC World Real Estate Investment Trust,SGD,SES,REGULAR,645426368.0,0.8,21-06-2021 15:01:00,0.81,0.805,2021-06-21 06:48:42,1.0,1192755968.0,806782976.0,0.69511,0.00696,0.913,26967000.0,0.034,0.14999998,10.195,0.8762322
28,INDUSTRIAL,J91U.SI,SGD,ESR-REIT,SGD,SES,REGULAR,1603792384.0,0.415,21-06-2021 15:01:00,0.41,0.415,2021-06-21 06:48:19,1.0,2913815552.0,3864560128.0,0.32665002,0.13735,0.447,2770000.0,0.001,0.037500024,12.509,0.9284116
