,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,YAHOO_SYMBOL,SECTOR,STOCK_NAME,CURRENCY,EXCHANGE,EXCHANGE_STATE,MARKETPRICE,SHARESOUTSTANDING,UPDATED,MARKETOPEN,MARKETCLOSE,MARKETCAP,ENDDATE_MRQ0,CNAV_pershare,CNAV_total,PCNAV,Last_div_date,dpu_ttm,date_mr1,dpu_mr1,date_mr2,dpu_mr2,date_mr3,dpu_mr3,date_mr4,dpu_mr4,dpu_2020,dpu_2019,dpu_2018,dpu_2017,dpu_2016,dpu_2015,dpu_2014,dpu_2013,dpu_2012,dpu_2011,dpu_2010,date_mr5,dpu_mr5,eps_ttm,eps_mrq1,eps_mrq2,eps_mrq3,eps_mrq4,eps_2021,eps_2020,eps_2019,eps_2018,eps_2017,propertyyield_ttm,propertyyield_2021,propertyyield_2020,propertyyield_2019,propertyyield_2018,propertyyield_2017,gearing_mrq,gearing_2021,gearing_2020,gearing_2019,gearing_2018,gearing_2017,interestcover_mrq,interestcover_2021,interestcover_2020,interestcover_2019,interestcover_2018,interestcover_2017,No_of_properties,Occupancy,weighted_debt,wale_GI,wale_NLA,LOCATION,LINK,MARKETSTATE,MARKETTIME,ENTERPRISEVALUE
10,10,10,10,10,10,P40U.SI,RETAIL,Starhill Global Real Estate Investment Trust,SGD,SES,POSTPOST,0.56,2214200064,27-06-2021 11:23:57,0.55,0.55,1239952000,31/12/2020,0.8586888921704954,1901309000.0,0.6521570327810998,4/2/2021,0.0258,4/2/2021,0.0188,5/8/2020,0.007,0,0.0,0,0.0,0.0183,0.0446,0.045,0.0482,0.0485,0.0509,0.0447,0.049,0.0427,0.0415,0.0383,0,0.0,0.038017749,0.011919478,0.011919478,0.001547788,0.012631007,0.0,0.042098308,0.050655929,0.050754557,0.053901456,3.449298971,0.0,3.807484551,4.531194788,4.552684407,4.691851163,37.93132728,0.0,41.87495954,37.58042573,36.80930957,36.69453594,2.635111876,0.0,2.809301626,3.588805334,3.710760867,3.779964038,10.0,0.969,2.3,5.4,8.3,"69%SG,14%AUST,14%MALAYSIA,3%OTHERS",,CLOSED,2021-06-27 17:04:09,2236384000.0
11,11,11,11,11,11,ODBU.SI,RETAIL,United Hampshire US Real Estate Investment Trust,USD,SES,POSTPOST,0.745,497353984,27-06-2021 11:23:57,0.745,0.745,368041952,31/12/2018,0.0,0.0,inf,5/3/2021,0.065187,5/3/2021,0.040738,19/8/2020,0.024449,0,0.0,0,0.0,0.024449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.947,,,8.3,"100%US, 18 grocery-anchored and necessity-based retail properties",,CLOSED,2021-06-27 17:04:09,584185792.0
12,12,12,12,12,12,XZL.SI,HOSPITALITY,ARA US Hospitality Trust,USD,SES,POSTPOST,0.56,567342016,27-06-2021 11:23:57,0.555,0.545,306364704,-,0.0,0.0,inf,27/2/2020,0.060777,27/2/2020,0.060777,0,0.0,0,0.0,0,0.0,0.060777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,CLOSED,2021-06-27 16:59:32,661968704.0
13,13,13,13,13,13,HMN.SI,HOSPITALITY,Ascott Residence Trust,SGD,SES,POSTPOST,1.02,3117129984,27-06-2021 11:23:57,1.01,1.01,3148301312,30/9/2019,1.0465967145244335,3262378000.0,0.9745874278455777,3/2/2021,0.03033,3/2/2021,0.01986,5/8/2020,0.01047,0,0.0,0,0.0,0.01047,0.11577,0.06922,0.075672,0.076832,0.079526,0.07635,0.08936,0.0858,0.06736,0.089677,0,0.0,0.154544205,0.018913574,0.025305813,0.092245313,0.018079505,0.0,0.0,0.0,0.073588699,0.110114548,4.224539478,0.0,0.0,0.0,4.39093044,3.949079579,34.32431706,0.0,0.0,0.0,41.57544858,42.21283697,4.483393108,0.0,0.0,0.0,4.58544828,4.708023756,,,,,,,,CLOSED,2021-06-27 17:04:09,5547826176.0
14,14,14,14,14,14,J85.SI,HOSPITALITY,CDL Hospitality Trusts,SGD,SES,POSTPOST,1.27,1224519936,27-06-2021 11:23:57,1.25,1.26,1518404736,30/6/2018,1.4631799347038152,1791693000.0,0.8679725369915493,5/2/2021,0.0495,5/2/2021,0.0344,6/8/2020,0.0151,0,0.0,0,0.0,0.0637,0.0911,0.0943,0.094404,0.094492,0.094061,0.1081,0.1103,0.1141,0.1065,0.1392,0,0.0,0.090273093,0.009404435,0.015451312,0.050917638,0.014499708,0.0,0.0,0.0,0.0,0.090330585,4.617906906,0.0,0.0,0.0,0.0,4.673662653,34.9315683,0.0,0.0,0.0,0.0,35.37153329,4.84997201,0.0,0.0,0.0,0.0,5.578449821,,,,,,,,CLOSED,2021-06-27 17:04:09,2556676096.0
15,15,15,15,15,15,LIW.SI,HOSPITALITY,Eagle Hospitality Trust,USD,SES,POSTPOST,0.137,872750016,27-06-2021 11:23:57,0.205,0.137,119566744,-,0.0,0.0,inf,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,CLOSED,2021-06-27 10:44:21,572939776.0
16,16,16,16,16,16,Q5T.SI,HOSPITALITY,Far East Hospitality Trust,SGD,SES,POSTPOST,0.6,1955139968,27-06-2021 11:23:57,0.595,0.595,1163308288,31/3/2018,0.7969705624676791,1558189000.0,0.7528508934410395,19/2/2021,0.0241,19/2/2021,0.0138,7/8/2020,0.0103,0,0.0,0,0.0,0.0198,0.0386,0.0397,0.0405,0.0438,0.0471,0.0528,0.0631,0.0,0.0,0.0,0,0.0,0.011425521,0.009558312,-0.015616603,0.010157119,0.007326692,0.0,0.0,0.0,0.0,0.008433036,3.400871071,0.0,0.0,0.0,0.0,3.370505712,34.44203165,0.0,0.0,0.0,0.0,34.03407542,5.485635359,0.0,0.0,0.0,0.0,3.230214959,,,,,,,,CLOSED,2021-06-27 17:08:17,2167986944.0
17,17,17,17,17,17,ACV.SI,HOSPITALITY,Frasers Hospitality Trust,SGD,SES,POSTPOST,0.53,1926070016,27-06-2021 11:23:57,0.525,0.525,1011186688,30/6/2018,0.7956398195651055,1532458000.0,0.6661305618033252,7/5/2021,0.012485,7/5/2021,0.00179,6/11/2020,0.010695,0,0.0,0,0.0,0.013982,0.044129,0.047613,0.050458,0.052287,0.073656,0.0,0.0,0.0,0.0,0.0,0,0.0,0.103459682,0.011035591,0.009703257,0.01227762,0.070443214,0.0,0.0,0.0,0.0,0.10161957,4.133894048,0.0,0.0,0.0,0.0,3.947854412,35.03439356,0.0,0.0,0.0,0.0,33.12724579,4.441489362,0.0,0.0,0.0,0.0,4.771067624,,,,,,,,CLOSED,2021-06-27 17:04:09,1841286144.0
18,18,18,18,18,18,AU8U.SI,DIVERSIFIED,CapitaLand China Trust,SGD,SES,POSTPOST,1.37,1511789952,27-06-2021 11:23:57,1.37,1.37,2086270080,31/12/2020,1.304324054668674,1971864000.0,1.0503524757488345,5/2/2021,0.063374,5/2/2021,0.0058,24/11/2020,0.0275,6/8/2020,0.030074,0,0.0,0.093523,0.110215,0.061648,0.138759,0.104564,0.101524,0.0932,0.0619,0.1246,0.0843,0.0827,0,0.0,-0.050019711,-0.037468713,-0.037468713,0.012458857,0.012458857,0.0,-0.01516555,0.277348105,0.339665463,0.34747694,3.159063158,0.0,3.159063158,5.039133292,5.378872559,5.512552036,41.45454194,0.0,41.45454194,48.22538435,43.24033732,32.03093251,6.474791248,0.0,3.971945915,4.353018158,4.911804309,6.750814251,19.0,0.941,2.97,2.4,3.7,"100% China | 14 RETAIL, 5 BIZ PARK",,CLOSED,2021-06-27 17:04:09,3251137536.0
19,19,19,19,19,19,C38U.SI,DIVERSIFIED,CapitaLand Integrated Commercial Trust,SGD,SES,POSTPOST,2.09,6476000256,27-06-2021 11:23:57,2.1,2.09,13664359424,31/12/2020,1.8851629890979424,12208316000.0,1.1086574540698322,28/1/2021,0.0869,28/1/2021,0.0174,19/10/2020,0.0399,29/7/2020,0.0211,11/5/2020,0.0085,0.1006,0.1042,0.1284,0.1114,0.1113,0.1123,0.107,0.0836,0.0993,0.1045,0.0928,0,0.0,0.020561127,0.034158718,0.009620597,-0.039261114,0.016042926,0.0,0.026831471,0.089726864,0.091091355,0.09492548,2.1459459,0.0,2.1459459,4.84706357,4.427364334,4.905804567,42.62640446,0.0,42.62640446,36.03104922,37.92782164,37.36986769,3.618010937,0.0,3.437402103,4.262112734,4.545248039,4.134160751,24.0,0.963,,,,"38%OFFICE,29%INTEGRATED DEV,33%RETAIL(96%SG,4%GER)",,CLOSED,2021-06-27 17:06:38,22174179328.0
20,20,20,20,20,20,CWBU.SI,DIVERSIFIED,Cromwell European Real Estate Investment Trust,EUR,SES,POSTPOST,2.43,559329984,27-06-2021 11:23:58,2.42,2.42,1336798720,31/12/2020,2.2881340829387757,1279822000.0,1.062000700972479,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.063940834,0.024548176,0.024548176,0.007422241,0.007422241,0.0,0.063940954,0.0881674,0.075932821,0.0,4.892496277,0.0,4.892496277,5.098018662,4.723234139,0.0,40.56977131,0.0,40.56977131,42.6529495,38.2483428,0.0,5.553843013,0.0,5.959850555,5.734530828,6.3747326,0.0,96.0,0.951,3.8,4.9,,OFFICES AND LIGHT INDUSTRY IN EUROPE,,CLOSED,2021-06-27 17:04:09,2957404672.0
21,21,21,21,21,21,CWCU.SI,DIVERSIFIED,Cromwell European Real Estate Investment Trust,SGD,SES,POSTPOST,3.9,0,27-06-2021 11:23:58,3.85,3.85,0,31/12/2020,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.10269921,0.039428299,0.039428299,0.011921306,0.011921306,0.0,0.102699402,0.141610952,0.12196026,0.0,4.892496277,0.0,4.892496277,5.098018662,4.723234139,0.0,40.56977131,0.0,40.56977131,42.6529495,38.2483428,0.0,5.553843013,0.0,5.959850555,5.734530828,6.3747326,0.0,12.0,0.952,3.35,2.7,,"OFFICE AND RETAIL IN CHINA (2), HK (1), JAPAN (8), KOREA",,CLOSED,2021-06-27 16:39:39,2957404672.0
22,22,22,22,22,22,RW0U.SI,DIVERSIFIED,Mapletree North Asia Commercial Trust,SGD,SES,POSTPOST,1.05,3447770112,27-06-2021 11:23:58,1.05,1.04,3620158464,31/3/2021,1.225721223492061,4226005000.0,0.8566385079052202,29/4/2021,0.06175,29/4/2021,0.03299,5/11/2020,0.02876,0,0.0,0,0.0,0.06113,0.0777,0.07574,0.07445,0.07381,0.06897,0.06261,0.02735,0.0,0.0,0.0,0,0.0,-0.092786152,-0.01290481,-0.01290481,-0.033488265,-0.033488265,-0.092207747,0.043503826,0.231870069,0.235487668,0.0,3.524585349,3.524585349,3.010064523,3.952079558,4.177974846,0.0,43.46952635,43.46952635,42.21292317,38.63982369,38.33558956,0.0,4.232272241,3.77952371,3.085253145,3.921072867,4.149289997,0.0,,,3.01,,,,,CLOSED,2021-06-27 17:04:09,6672541696.0
23,23,23,23,23,23,T82U.SI,DIVERSIFIED,Suntec Real Estate Investment Trust,SGD,SES,POSTPOST,1.46,2842109952,27-06-2021 11:23:58,1.46,1.46,4121059584,31/12/2020,0.8342544940358451,2371043000.0,1.7500654901324018,30/4/2021,0.07687,30/4/2021,0.02045,2/2/2021,0.02261,29/10/2020,0.01848,30/7/2020,0.01533,0.07488,0.1234,0.10002,0.09997,0.09866,0.09146,0.08423,0.09092,0.09643,0.08046,0.0922,0,0.0,-0.012474505,-0.006101131,-0.006101131,-0.000136122,-0.000136122,0.0,-0.012477406,0.065338834,0.054497604,0.039066343,2.758438604,0.0,2.758438604,4.957738627,4.584206715,4.285096973,66.63689247,0.0,66.63689247,53.98095545,54.6966663,51.28848957,1.438308949,0.0,1.685998671,3.162100287,3.126615638,2.831609647,28.0,0.957,2.6,,3.94,"SG(25), AUST(2)",,CLOSED,2021-06-27 17:04:09,8826826752.0
